PatientID,role,SeriesInstanceUID,config,iso_spacing_mm,ok,error,seed_sec,centerline_sec,total_sec,air_cc_count,largest_air_cc_voxels,skeleton_voxels,seed_source,seed_distance_mm,seeds_cross_components,n_points,length_mm,n_ccs_total,n_ccs_visited,n_bridges,bridge_length_mm_total,used_kimimaro,max_bridge_wall_frac,bridge_fallback,straight_line_mm,tortuosity
1.3.6.1.4.1.9328.50.4.0026,secondary,1.3.6.1.4.1.9328.50.4.27293,corrected,1.0,True,,29.51,55.21,84.73,279,4623211,105042,skeleton_endpoints,500.08899208040964,True,963,1348.92,14,1,0,0,False,0.0,No bridge chain from CC 1 to CC 2 within max_bridge_mm=150.0.,466.05,2.894
1.3.6.1.4.1.9328.50.4.0027,primary,1.3.6.1.4.1.9328.50.4.63367,corrected,1.0,True,,44.05,50.22,94.27,242,1153503,90280,skeleton_endpoints,488.4014741992493,True,627,872.91,19,1,0,0,False,0.0,No bridge chain from CC 1 to CC 187 within max_bridge_mm=150.0.,329.9,2.646
1.3.6.1.4.1.9328.50.4.0027,secondary,1.3.6.1.4.1.9328.50.4.28494,corrected,1.0,True,,33.28,40.95,74.23,280,2377934,36637,skeleton_endpoints,461.72719218170374,True,783,1102.01,15,4,3,325.31,True,0.4264705882352941,,461.73,2.387
1.3.6.1.4.1.9328.50.4.0028,primary,1.3.6.1.4.1.9328.50.4.29500,corrected,1.0,True,,20.0,31.96,51.96,634,2841679,56118,skeleton_endpoints,454.2279163591775,True,871,1180.39,37,3,2,250.33,True,0.3448275862068966,,454.23,2.599
1.3.6.1.4.1.9328.50.4.0028,secondary,1.3.6.1.4.1.9328.50.4.28971,corrected,1.0,True,,20.67,30.11,50.78,414,2349974,76882,skeleton_endpoints,429.8488106299702,True,1019,1424.9,40,3,2,149.96,True,0.27941176470588236,,429.85,3.315
1.3.6.1.4.1.9328.50.4.0029,primary,1.3.6.1.4.1.9328.50.4.30583,corrected,1.0,True,,30.51,43.7,74.21,293,2047169,76262,skeleton_endpoints,492.40024370424516,True,739,1015.39,23,1,0,0,False,0.0,No bridge chain from CC 1 to CC 174 within max_bridge_mm=150.0.,419.99,2.418
1.3.6.1.4.1.9328.50.4.0029,secondary,1.3.6.1.4.1.9328.50.4.30035,corrected,1.0,True,,25.54,39.25,64.79,310,2399760,22054,skeleton_endpoints,450.09554541230466,True,749,996.15,12,1,0,0,False,0.0,No bridge chain from CC 3 to CC 261 within max_bridge_mm=150.0.,388.61,2.563
1.3.6.1.4.1.9328.50.4.0030,primary,1.3.6.1.4.1.9328.50.4.31759,corrected,1.0,True,,27.88,23.56,51.43,197,2791950,85361,skeleton_endpoints,437.8926809162263,False,874,1214.42,8,1,0,0,False,0.0,,437.89,2.773
1.3.6.1.4.1.9328.50.4.0030,secondary,1.3.6.1.4.1.9328.50.4.31186,corrected,1.0,True,,23.34,34.55,57.89,183,2035685,35466,skeleton_endpoints,499.16530328138793,True,908,1244.27,11,1,0,0,False,0.0,No bridge chain from CC 1 to CC 100 within max_bridge_mm=150.0.,448.6,2.774
1.3.6.1.4.1.9328.50.4.0031,primary,1.3.6.1.4.1.9328.50.4.32905,corrected,1.0,True,,24.94,34.61,59.55,749,2577765,51850,skeleton_endpoints,532.5683054782738,True,1248,1634.67,31,6,5,363.49,True,0.48148148148148145,,532.57,3.069
1.3.6.1.4.1.9328.50.4.0031,secondary,1.3.6.1.4.1.9328.50.4.32365,corrected,1.0,True,,23.21,40.18,63.38,900,3357151,20926,skeleton_endpoints,511.238691806479,True,767,1065.78,17,1,0,0,False,0.0,No bridge chain from CC 8 to CC 578 within max_bridge_mm=150.0.,413.95,2.575
